RuleCode,RuleGroup,ProductType,VizTemplate,RuleDescription,Type,SuspType,Schedule,VizSchedule,PrePostEOD,CustAcct,TemplateRule,TimeHorizon,CustomerType,CustomerRiskLevel,CustomerRiskClass,Min_Trans_No,Min_Ind_Trans_Amt,Max_Ind_Trans_Amt,Min_Agg_Trans_Amt,Max_Agg_Trans_Amt,Additional,Cash_Ind,Trans_Code,Trans_Code_Group,In_Cash_Ind,In_Trans_Code,In_Trans_Code_Group,Out_Cash_Ind,Out_Trans_Code,Out_Trans_Code_Group,In_Out_Ratio_Min,In_Out_Ratio_Max
blvelshwir,Flow-Through,ALL,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,Low,LowRisk,,,,25000,,,,,,,,All,1,,All,0.10,
blvelshwirO,Flow-Through,ALL/WIRE,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,Low,LowRisk,,,,100000,,,,,,1,,All,,"627, 656",,0.10,
blwreinoutv,Flow-Through,WIRE,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,Low,LowRisk,,,,150000,,,,,,,"622, 609",,,"627, 656",,0.10,
bmvelshwir,Flow-Through,WIRE/ALL,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,Medium,MediumRisk,,,,91232,,,,,,,"622, 609",,,,All,0.10,
bmvelshwirO,Flow-Through,ALL/WIRE,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,Medium,MediumRisk,,,,75000,,,,,,1,,All,,"627, 656",,0.10,
bmwreinoutv,Flow-Through,WIRE,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,Medium,MediumRisk,,,,125000,,,,,,,"622, 609",,,"627, 656",,0.10,
bvelcsh2wir,Flow-Through,WIRE/ALL,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,High,HighRisk,,,,65845,,,,,,,"622, 609",,,,All,0.10,
bvlcsh2wirO,Flow-Through,ALL/WIRE,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,High,HighRisk,,,,50000,,,,,,1,,All,,"627, 656",,0.10,
bwireinoutv,Flow-Through,WIRE,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,B,High,HighRisk,,,,100000,,,,,,,"622, 609",,,"627, 656",,0.10,
plvelcshwir,Flow-Through,WIRE/ALL,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,I,Low,IndLowRisk,,,,65000,,,,,,,"622, 609",,1,,All,0.10,
plvlcshwirO,Flow-Through,ALL/WIRE,FTF-M-Cust,Detect incoming transactions followed by outgoing transactions of specified type within a designated percent over a period of time,Case,Rule,Monthly,Monthly,PostEod,Customer,XPrcInTOutT,31d,I,Low,IndLowRisk,,,,65000,,,,,,1,,All,,"627, 656",,0.10,
