"CustomerID","CustomerName","CustomerType","CustomerRiskClass","CustomerRiskLevel","IsCharityOrg","IsClosed","IsCorrBank","IsFEP","IsMSB","IsOffshoreBank","IsPEP","IsPSP","IsCIB","IsNBFI","IsFCB"
".CABRER7D4..000","AMADOR DAYSI  CABRERA","I","IndLowRisk","Low","","","","","","","","","","",""
".CABRER7D4..001","CABRERA DAYSI   AMADOR","I","IndLowRisk","Low","","","","","","","","","","",""
".CAMPOS0J3J.000","CAMPOS JUAN J","I","IndLowRisk","Low","","","","","","","","","","",""
".CAMPOS2J3J.000","CAMPOS JUAN J  JR","I","IndLowRisk","Low","","","","","","","","","","",""
".CAMPOS2J3J.001","CAMPOS JUAN J   JR","I","IndLowRisk","Low","","","","","","","","","","",""
".MESA..0L5E.001","MESA LEONEL E","I","IndLowRisk","Low","","","","","","","","","","",""
".MOORE.0G0..000","MOORE GUILLERMINA","I","IndLowRisk","Low","","","","","","","","","","",""
"1008 INV CO 000","1008 INVESTMENTS, CORP.","B","LowRisk","Low","","","","","","","","","","",""
"1008 INV CO 001","1008 INVESTMENTS CORP","B","LowRisk","Low","","","","","","","","","","",""
"1009 COU IN 000","1009 COURTS INC","B","LowRisk","Low","","","","","","","","","","",""
"1009 COU IN 001","1009 COURTS,INC.","B","LowRisk","Low","","","","","","","","","","",""
"1010 ME SE I000","1010 MEDICAL SERVICE, INC","B","LowRisk","Low","","","","","","","","","","",""
"1010 ME SE I001","1010 MEDICAL SERVICE INC","B","LowRisk","Low","","","","","","","","","","",""
"1065 WA AV C000","1065 WASHINGTON AVENUE CORP","B","LowRisk","Low","","","","","","","","","","",""
"108  ST IN L000","108 STREET INVESTMENT, LLC","B","LowRisk","Low","","","","","","","","","","",""
"108  ST IN L001","108 STREET INVESTMENT LLC","B","LowRisk","Low","","","","","","","","","","",""
"110  CA D LA000","110 CAMDEN DRIVE LLC A FLORIDA","B","LowRisk","Low","","","","","","","","","","",""
"110  CA D LL000","110 CAMDEN DRIVE,L.L.C., A FLORIDA","B","LowRisk","Low","","","","","","","","","","",""
"1115 CORP   000","1115 CORP","B","LowRisk","Low","","","","","","","","","","",""
"1151 AL I GL000","1151 ALHAMBRA INVESTMENT GROUP LLC","B","LowRisk","Low","","","","","","","","","","",""
